true	deductive	To Kill a Mockingbird is a popular book.	It is widely read in high schools and middle schools.	To Kill a Mockingbird is a novel by the American author Harper Lee. It was published in 1960 and was instantly successful. In the United States, it is widely read in high schools and middle schools.
true	deductive	To Kill a Mockingbird is a highly acclaimed book.	A year after its release, it won the Pulitzer Prize.	A year after its release, it won the Pulitzer Prize. The plot and characters are loosely based on Lee's observations of her family, her neighbors and an event that occurred near her hometown of Monroeville, Alabama, in 1936, when she was ten.
true	deductive number	To Kill a Mockingbird has over 200 pages.	The book has 281 pages.	To Kill a Mockingbird is a novel by the American author Harper Lee, composed of 281 pages. It was published in 1960 and was instantly successful.
true	deductive time	To Kill a Mockingbird was published in the 1960s.	The book was published on July 11, 1960.	To Kill a Mockingbird is a novel by the American author Harper Lee. It was published in 1960 and was instantly successful. In the United States, it is widely read in high schools and middle schools. To Kill a Mockingbird has become a classic of modern American literature; a year after its release, it won the Pulitzer Prize.
true	deductive	Tom Jones is from Wales.	Tom Jones is a Welsh singer. 	Tom Jones (born 7 June 1940) is a Welsh singer. His career began with a string of top 10 hits in the 1960s and he has since toured regularly, with appearances in Las Vegas from 1967 to 2011. His voice has been described by AllMusic as a "full-throated, robust baritone".
true	deductive	Tom Jones is good at singing low notes.	His voice has been described by AllMusic as a "full-throated, robust baritone".	Tom Jones (born 7 June 1940) is a Welsh singer. His career began with a string of top 10 hits in the 1960s and he has since toured regularly, with appearances in Las Vegas from 1967 to 2011. His voice has been described by AllMusic as a "full-throated, robust baritone".
true	deductive number	Tom Jones is over 80 years old.	Tom Jones was born on 7 June 1940.	Tom Jones (born 7 June 1940) is a Welsh singer. His career began with a string of top 10 hits in the 1960s and he has since toured regularly, with appearances in Las Vegas from 1967 to 2011. His voice has been described by AllMusic as a "full-throated, robust baritone".
true	deductive time	Tom Jones made appearences in the 2010s.	He has since toured regularly, with appearances in Las Vegas from 1967 to 2011. 	Tom Jones (born 7 June 1940) is a Welsh singer. His career began with a string of top 10 hits in the 1960s and he has since toured regularly, with appearances in Las Vegas from 1967 to 2011. His voice has been described by AllMusic as a "full-throated, robust baritone".
true	deductive	The Exorcist is based on a book.	The Exorcist is based on a 1971 novel of the same name. 	The Exorcist is a 1973 American supernatural horror film directed by William Friedkin from a screenplay by William Peter Blatty, based on his 1971 novel of the same name. 
true	deductive	The Exorcist has a supernatural plot.	The story follows the demonic possession of a young girl.	The story follows the demonic possession of a young girl and her mother's attempt to rescue her through an exorcism by two Catholic priests.
true	deductive number	The Exorcist features multiple priests.	The film's story involves two Catholic priests.	The story follows the demonic possession of a young girl and her mother's attempt to rescue her through an exorcism by two Catholic priests.
true	deductive time	The Exorcist was released in 1973.	The Exorcist is a 1973 American supernatural horror film.	The Exorcist is a 1973 American supernatural horror film directed by William Friedkin from a screenplay by William Peter Blatty, based on his 1971 novel of the same name. 
true	deductive	Anne Frank had a diary.	Anne Frank was a celebrated diarist.	Anne Frank was a German-born Jewish girl who kept a diary in which she documented life in hiding under Nazi persecution. She is a celebrated diarist who described everyday life from her family hiding place in an Amsterdam attic. One of the most-discussed Jewish victims of the Holocaust, she gained fame posthumously with the 1947 publication of The Diary of a Young Girl (originally Het Achterhuis in Dutch, lit.'the back house'; English: The Secret Annex), in which she documents her life in hiding from 1942 to 1944, during the German occupation of the Netherlands in World War II. It is one of the world's best-known books and has been the basis for several plays and films.
